表訂時間,往來地點中文,航空公司,航班狀態,實際時間
2025/4/29 11:00,香港,國泰航空,已到Arrived,2025/4/29 10:36
2025/4/29 11:00,上海/浦東,吉祥航空,已到Arrived,2025/4/29 10:57
2025/4/29 11:10,河內,越捷航空,已到Arrived,2025/4/29 12:48
2025/4/29 11:10,曼谷/廊曼,泰國獅子航空,已到Arrived,2025/4/29 10:42
2025/4/29 11:15,香港,香港航空,已到Arrived,2025/4/29 10:50
2025/4/29 11:20,杭州,中國國際航空,已到Arrived,2025/4/29 11:18
2025/4/29 11:30,北京,中國國際航空,已到Arrived,2025/4/29 14:27
2025/4/29 11:30,東京,日本航空,已到Arrived,2025/4/29 11:25
2025/4/29 11:35,濟州,臺灣虎航,已到Arrived,2025/4/29 11:26
2025/4/29 11:45,釜山,中華航空,已到Arrived,2025/4/29 11:31
2025/4/29 11:45,新加坡,酷航,已到Arrived,2025/4/29 11:38
2025/4/29 11:50,香港,國泰航空,已到Arrived,2025/4/29 11:35
2025/4/29 11:50,仁川,韓亞航空,已到Arrived,2025/4/29 12:01
2025/4/29 11:55,香港,長榮航空,已到Arrived,2025/4/29 11:46
2025/4/29 12:00,名古屋,中華航空,已到Arrived,2025/4/29 12:09
2025/4/29 12:00,長灘島,菲律賓皇家航空,已到Arrived,2025/4/29 12:16
2025/4/29 12:05,香港,中華航空,已到Arrived,2025/4/29 12:46
2025/4/29 12:05,克拉克,星宇航空,已到Arrived,2025/4/29 11:46
2025/4/29 12:10,仁川,大韓航空,已到Arrived,2025/4/29 12:12
2025/4/29 12:10,香港,國泰航空,已到Arrived,2025/4/29 12:02
2025/4/29 12:10,東京,捷星日本航空,已到Arrived,2025/4/29 12:03
2025/4/29 12:10,清州,可依航空,已到Arrived,2025/4/29 11:43
2025/4/29 12:20,曼谷/廊曼,泰國亞洲航空,已到Arrived,2025/4/29 12:06
2025/4/29 12:25,琉球(沖繩),中華航空,已到Arrived,2025/4/29 12:25
2025/4/29 12:25,福岡,臺灣虎航,已到Arrived,2025/4/29 12:35
2025/4/29 12:30,福岡,中華航空,已到Arrived,2025/4/29 12:53
2025/4/29 12:35,釜山,釜山航空,已到Arrived,2025/4/29 12:30
2025/4/29 12:45,名古屋,日本航空,已到Arrived,2025/4/29 13:01
2025/4/29 12:45,香港,香港快運航空,已到Arrived,2025/4/29 12:34
2025/4/29 12:50,馬尼拉,中華航空,已到Arrived,2025/4/29 13:47
2025/4/29 12:50,澳門,星宇航空,已到Arrived,2025/4/29 12:37
2025/4/29 12:55,香港,中華航空,已到Arrived,2025/4/29 13:12
2025/4/29 12:55,神戶,星宇航空,已到Arrived,2025/4/29 13:11
2025/4/29 13:00,香港,長榮航空,已到Arrived,2025/4/29 13:04
2025/4/29 13:00,富國島,越捷航空,已到Arrived,2025/4/29 12:44
2025/4/29 13:05,曼谷,泰國國際航空,已到Arrived,2025/4/29 12:59
2025/4/29 13:05,大阪/關西,長榮航空,已到Arrived,2025/4/29 13:16
2025/4/29 13:05,佐賀,臺灣虎航,已到Arrived,2025/4/29 13:02
2025/4/29 13:10,廣島,中華航空,已到Arrived,2025/4/29 13:23
2025/4/29 13:10,新加坡,新加坡航空,已到Arrived,2025/4/29 12:40
2025/4/29 13:10,大阪/關西,臺灣虎航,已到Arrived,2025/4/29 13:13
2025/4/29 13:15,熊本,星宇航空,已到Arrived,2025/4/29 13:20
2025/4/29 13:20,香港,星宇航空,已到Arrived,2025/4/29 12:55
2025/4/29 13:25,釜山,中華航空,已到Arrived,2025/4/29 13:26
2025/4/29 13:25,上海/浦東,中國國際航空,已到Arrived,2025/4/29 13:18
2025/4/29 13:25,濟州,德威航空,已到Arrived,2025/4/29 13:06
2025/4/29 13:30,鹿兒島,中華航空,已到Arrived,2025/4/29 13:42
2025/4/29 13:30,廈門,華信,已到Arrived,2025/4/29 14:16
2025/4/29 13:30,廣州,中國南方航空,已到Arrived,2025/4/29 12:38
2025/4/29 13:35,仁川,長榮航空,已到Arrived,2025/4/29 13:46
2025/4/29 13:40,澳門,澳門航空,已到Arrived,2025/4/29 13:38
2025/4/29 13:45,福岡,長榮航空,已到Arrived,2025/4/29 14:11
2025/4/29 13:45,曼谷,泰越捷,已到Arrived,2025/4/29 13:30
2025/4/29 13:50,琉球(沖繩),樂桃航空,已到Arrived,2025/4/29 14:01
2025/4/29 13:55,小松,長榮航空,已到Arrived,2025/4/29 13:57
2025/4/29 14:00,汶萊,汶萊皇家航空,已到Arrived,2025/4/29 13:41
2025/4/29 14:00,克拉克,長榮航空,已到Arrived,2025/4/29 14:06
2025/4/29 14:05,上海/浦東,中華航空,已到Arrived,2025/4/29 14:08
2025/4/29 14:10,仁川,中華航空,已到Arrived,2025/4/29 14:04
2025/4/29 14:10,吉隆坡,馬來西亞國際航空,已到Arrived,2025/4/29 17:29
2025/4/29 14:25,上海/浦東,中國東方航空,已到Arrived,2025/4/29 14:18
2025/4/29 14:25,吉隆坡,全亞洲航空,已到Arrived,2025/4/29 13:59
2025/4/29 14:25,香港,香港快運航空,已到Arrived,2025/4/29 13:53
2025/4/29 14:30,名古屋,中華航空,已到Arrived,2025/4/29 14:52
2025/4/29 14:30,新加坡,酷航,已到Arrived,2025/4/29 14:39
2025/4/29 14:30,大阪/關西,泰越捷,已到Arrived,2025/4/29 14:40
2025/4/29 14:40,東京,臺灣虎航,已到Arrived,2025/4/29 14:42
2025/4/29 14:55,宿霧,中華航空,已到Arrived,2025/4/29 15:11
2025/4/29 14:55,馬尼拉,長榮航空,已到Arrived,2025/4/29 15:15
2025/4/29 14:55,香港,香港航空,已到Arrived,2025/4/29 14:50
2025/4/29 15:00,阿姆斯特丹,荷蘭皇家航空,已到Arrived,2025/4/29 14:57
2025/4/29 15:00,澳門,長榮航空,已到Arrived,2025/4/29 14:38
